ID	2006 list	2008 list	2010 list	2012 list	2018 list	Book Title	Author	List	Original/Alt Title	Wilson score	nationality	Period	List Notes	Work Wikidata ID	Author Wikidata ID	GND Arealabel	GND Areacode	P495	P19	Geonames ID	Latitude	Longitude
1261	2006	NaN	NaN	NaN	NaN	The Red Queen	Drabble, Margaret	2) Deleted 2008	NaN	1258	English	2000s	NaN	Q25217752	Q239307	Great Britain	https://d-nb.info/standards/vocab/gnd/geographic-area-code#XA-GB	NaN	NaN	2635167	54.75844	-2.69531
1262	2006	2008	2010	2012	2018	The Sea	Banville, John	1) core list	NaN	1019	NaN	2000s	NaN	Q1216210	Q313077	Ireland	https://d-nb.info/standards/vocab/gnd/geographic-area-code#XA-IE	NaN	NaN	2963597	53.0	-8.0
1263	NaN	2008	2010	2012	2018	The Book about Blanche and Marie	Enquist, Per Olov	3) Added 2008	NaN	1213	NaN	2000s	NaN	Q2906040	Q311476	Sweden	https://d-nb.info/standards/vocab/gnd/geographic-area-code#XA-SE	NaN	NaN	2661886	62.0	15.0
1264	NaN	2008	NaN	NaN	NaN	Small Island	Levy, Andrea	4) Deleted 2010	NaN	426	NaN	2000s	NaN	Q7542810	Q494257	Great Britain	https://d-nb.info/standards/vocab/gnd/geographic-area-code#XA-GB	NaN	NaN	2635167	54.75844	-2.69531
1265	NaN	2008	2010	2012	2018	2666	Bolaño, Roberto	3) Added 2008	NaN	298	NaN	2000s	NaN	Q219437	Q297532	Chile	https://d-nb.info/standards/vocab/gnd/geographic-area-code#XD-CL	NaN	NaN	3895114	-30.0	-71.0
1266	NaN	2008	2010	2012	2018	The Line of Beauty	Hollinghurst, Alan	3) Added 2008	NaN	824	English	2000s	NaN	Q2448434	Q316048	Great Britain	https://d-nb.info/standards/vocab/gnd/geographic-area-code#XA-GB	NaN	NaN	2635167	54.75844	-2.69531
1267	NaN	2008	2010	NaN	NaN	The Accidental	Smith, Ali	6) Deleted 2012	NaN	1185	NaN	2000s	NaN	Q4015968	Q468523	NaN	NaN	NaN	Inverness	NaN	NaN	NaN
1268	2006	NaN	NaN	NaN	NaN	Adjunct: An Undigest	Manson, Peter	2) Deleted 2008	NaN	1293	Scottish	2000s	NaN	NaN	Q7175648	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1269	2006	NaN	NaN	NaN	NaN	Slow Man	Coetzee, J.M.	2) Deleted 2008	NaN	1120	S. African	2000s	NaN	Q687357	Q43293	South Africa	https://d-nb.info/standards/vocab/gnd/geographic-area-code#XC-ZA	NaN	NaN	953987	-29.0	24.0
1270	2006	NaN	NaN	NaN	NaN	On Beauty	Smith, Zadie	2) Deleted 2008	NaN	823	English	2000s	NaN	Q1994900	Q140052	Great Britain	https://d-nb.info/standards/vocab/gnd/geographic-area-code#XA-GB	NaN	NaN	2635167	54.75844	-2.69531
1271	2006	NaN	NaN	NaN	NaN	Saturday	McEwan, Ian	2) Deleted 2008	NaN	904	English	2000s	NaN	Q1723053	Q190379	Great Britain	https://d-nb.info/standards/vocab/gnd/geographic-area-code#XA-GB	NaN	NaN	2635167	54.75844	-2.69531
1272	2006	NaN	NaN	NaN	NaN	Never Let Me Go	Ishiguro, Kazuo	2) Deleted 2008	NaN	527	Japanese/English	2000s	NaN	Q951587	Q272855	Great Britain	https://d-nb.info/standards/vocab/gnd/geographic-area-code#XA-GB	NaN	NaN	2635167	54.75844	-2.69531
