ID	2006 list	2008 list	2010 list	2012 list	2018 list	Book Title	Author	List	Original/Alt Title	Wilson score	nationality	Period	List Notes	Work Wikidata ID	Author Wikidata ID	GND Arealabel	GND Areacode	P495	P19	Geonames ID	Latitude	Longitude
1185	2006	NaN	NaN	NaN	NaN	Everything You Need	Kennedy, A.L.	2) Deleted 2008	NaN	1013	Scottish	1900s	NaN	NaN	Q278872	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1186	2006	NaN	NaN	NaN	NaN	Pastoralia	Saunders, George	2) Deleted 2008	NaN	96	American	2000s	NaN	Q7143062	Q1251926	NaN	NaN	United States of America	NaN	6252001	39.76	-98.5
1187	2006	NaN	NaN	NaN	NaN	Blonde	Oates, Joyce Carol	2) Deleted 2008	NaN	734	American	2000s	NaN	Q1580112	Q217557	United States	https://d-nb.info/standards/vocab/gnd/geographic-area-code#XD-US	NaN	NaN	6252001	39.76	-98.5
1188	2006	NaN	NaN	NaN	NaN	House of Leaves	Danielewski, Mark Z.	2) Deleted 2008	NaN	241	American	2000s	NaN	Q521688	Q963727	United States	https://d-nb.info/standards/vocab/gnd/geographic-area-code#XD-US	NaN	NaN	6252001	39.76	-98.5
1189	2006	NaN	NaN	NaN	NaN	Super-Cannes	Ballard, J.G.	2) Deleted 2008	NaN	939	NaN	2000s	NaN	Q4446225	Q140201	NaN	NaN	United States of America	NaN	6252001	39.76	-98.5
1190	NaN	2008	2010	2012	2018	Bartleby and Co.	Vila-Matas, Enrique	3) Added 2008	NaN	334	NaN	2000s	NaN	Q125217109	Q372313	NaN	NaN	NaN	Barcelona	NaN	NaN	NaN
1191	2006	2008	2010	2012	2018	Celestial Harmonies	Esterházy, Péter	1) core list	NaN	1134	Hungarian	2000s	NaN	NaN	Q164106	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1192	2006	NaN	NaN	NaN	NaN	Nineteen Seventy Seven	Peace, David	2) Deleted 2008	NaN	645	English	2000s	NaN	Q109046366	Q1176073	NaN	NaN	NaN	Ossett	NaN	NaN	NaN
1193	2006	NaN	NaN	NaN	NaN	Ignorance	Kundera, Milan	2) Deleted 2008	NaN	607	Czech	2000s	NaN	Q3048945	Q93166	France	https://d-nb.info/standards/vocab/gnd/geographic-area-code#XA-FR	NaN	NaN	3017382	46.0	2.0
1194	2006	2008	NaN	NaN	NaN	Small Remedies	Deshpande, Shashi	4) Deleted 2010	NaN	1100	Indian	2000s	NaN	Q7542873	Q1568679	NaN	NaN	NaN	Dharwad	NaN	NaN	NaN
1195	2006	NaN	NaN	NaN	NaN	After the Quake	Murakami, Haruki	2) Deleted 2008	NaN	561	Japanese	2000s	NaN	Q2111334	Q134798	NaN	NaN	Japan	NaN	1861060	35.68536	139.75309
1196	2006	NaN	NaN	NaN	NaN	The Blind Assassin	Atwood, Margaret	2) Deleted 2008	NaN	487	Canadian	2000s	NaN	Q1198405	Q183492	Canada	https://d-nb.info/standards/vocab/gnd/geographic-area-code#XD-CA	NaN	NaN	6251999	60.10867	-113.64258
