ID	2006 list	2008 list	2010 list	2012 list	2018 list	r/tbr/w	Book Title	Author	List	Original/Alt Title	Wilson score	nationality	Period	List Notes	Work Wikidata ID	Author Wikidata ID	Work QRank	Author QRank	Work Sitelinks	Author Sitelinks
382	2006	2008	2010	2012	2018		Tarka the Otter	Williamson, Henry	1) core list		795	English	1900s		Q7686243	Q1278677	30635	30995	1	11
383	2006	2008	2010	2012	2018		To The Lighthouse	Woolf, Virginia	1) core list		590	English	1900s		Q478016	Q40909	346938	3230998	33	109
384	2006	2008	2010	2012	2018		Remembrance of Things Past	Proust, Marcel	1) core list	A la recherche du temps perdu (In Search of Lost Time)	1234	French	1900s		Q464928	Q7199	1725508	1665375	48	137
385	2006	2008	2010	2012	2018		Steppenwolf	Hesse, Hermann	1) core list		89	German	1900s		Q217073	Q25973	665440	1690555	44	113
386	2006	2008	2010	2012	2018		Nadja	Breton, André	1) core list		960	French	1900s		Q1816820	Q161955	76383	561207	14	71
387	2006	2008	2010	2012	2018		Quicksand	Larsen, Nella	1) core list		880		1900s		Q24902061	Q453665	12042	58485	1	25
388	2006	2008	2010	2012	2018		Decline and Fall	Waugh, Evelyn	1) core list		544	English	1900s		Q3115185	Q107002	63553	492561	7	56
389	2006						Quartet	Rhys, Jean	2) Deleted 2008		907	Dominican/English	1900s		Q97359041	Q230598	4508	128825	1	40
390	2006						The Childermass	Lewis, Wyndham	2) Deleted 2008		1305	English	1900s			Q780102		74035	0	25
391		2008	2010	2012	2018		Some Prefer Nettles	Tanizaki, Junichiro	3) Added 2008		945		1900s		Q7559478	Q316213	19652	492751	4	40
392	2006	2008	2010	2012	2018		Parade’s End	Ford, Ford Madox	1) core list		765	English	1900s		Q5579026	Q537112	30610	106913	5	33
393	2006	2008	2010	2012	2018		The Well of Loneliness	Hall, Radclyffe	1) core list		944	English	1900s		Q1514807	Q237639	108389	84373	19	27
394	2006	2008	2010	2012	2018		Lady Chatterley’s Lover	Lawrence, D.H.	1) core list		1046	English	1900s		Q750670	Q34970	960526	813303	38	76
395	2006	2008	2010	2012	2018		Orlando	Woolf, Virginia	1) core list		429	English	1900s		Q1629456	Q40909	382551	3230998	25	109
396	2006	2008	2010	2012	2018		Story of the Eye	Bataille, Georges	1) core list		801	French	1900s		Q2747021	Q207359	115993	488275	10	49
397		2008	2010	2012	2018		Retreat Without Song	Shahnour, Shahan	3) Added 2008		588		1900s		Q20509885	Q2862197	14556	12731	1	9
398	2006	2008	2010	2012	2018		The Holy Terrors	Cocteau, Jean	1) core list	Les Enfants Terribles	689	French	1900s		Q2542978	Q83158	89738	989782	7	85
399	2006						The Sound and the Fury	Faulkner, William	2) Deleted 2008		486	American	1900s		Q135515	Q38392	564091	1386727	33	106
400	2006						Harriet Hume	West, Rebecca	2) Deleted 2008		1271	English	1900s		Q42185068	Q236669		104332	0	40
401	2006						The Last September	Bowen, Elizabeth	2) Deleted 2008		1137	Irish	1900s		Q1199395	Q235308	13706	69257	4	28
402	2006	2008	2010	2012	2018		Berlin Alexanderplatz	Döblin, Alfred	1) core list		684	Polish	1900s		Q694245	Q57389	175970	125080	23	54
403	2006	2008	2010	2012	2018		All Quiet on the Western Front	Remarque, Erich Maria	1) core list		289	German	1900s		Q207332	Q47293	3550605	2044376	53	93
404	2006	2008	2010	2012	2018		The Time of Indifference	Moravia, Alberto	1) core list		858	Italian	1900s		Q3233315	Q161933	92165	363714	5	65
405	2006	2008	2010	2012	2018		Living	Green, Henry	1) core list		1138	English	1900s		Q6659005	Q1285562	3097	27522	1	15
406	2006						The Red Harvest	Hammett, Dashiell	2) Deleted 2008		247	American	1900s		Q1935469	Q186335	92232	399592	10	63
407		2008	2010	2012	2018		I Thought of Daisy	Wilson, Edmund	3) Added 2008		1311	American	1900s			Q704931		72430	0	22
408	2006	2008	2010	2012	2018		A Farewell to Arms	Hemingway, Ernest	1) core list		575	American	1900s		Q235795	Q23434	621706	5732463	51	148
409	2006	2008	2010	2012	2018		Passing	Larsen, Nella	1) core list		452	American	1900s		Q15052495	Q453665	72499	58485	4	25
410	2006						Hebdomeros	De Chirico, Giorgio	2) Deleted 2008		766	Greek/Italian	1900s		Q47089834	Q156622	4686	384966	2	52
411	2006	2008	2010	2012	2018		Look Homeward, Angel	Wolfe, Thomas	1) core list		556	American	1900s		Q6675006	Q314256	88769	621977	5	41
412	2006	2008	2010	2012	2018		The Maltese Falcon	Hammett, Dashiell	1) core list		351	American	1900s		Q870551	Q186335	191425	399592	26	63
413	2006						Vile Bodies	Waugh, Evelyn	2) Deleted 2008		675	English	1900s		Q7271018	Q107002	47780	492561	5	56
414	2006	2008	2010	2012	2018		Her Privates We	Manning, Frederic	1) core list		551	English	1900s			Q1252799		3832	0	8
415	2006	2008	2010	2012	2018		The Apes of God	Lewis, Wyndham	1) core list		1268	Canadian	1900s		Q7713979	Q780102	5645	74035	1	25
416	2006						Cakes and Ale	Maugham, W. Somerset	2) Deleted 2008		740	French/English	1900s		Q2266873	Q134942	24394	870818	4	76
417	2006						The Glass Key	Hammett, Dashiell	2) Deleted 2008		307	American	1900s		Q6035197	Q186335	36655	399592	11	63
418		2008	2010	2012	2018		Monica	Lewis, Saunders	3) Added 2008		1302		1900s		Q6899894	Q2420498	54	18569	1	18
419		2008	2010	2012	2018		Insatiability	Witkiewicz, Stanislaw Ignacy	3) Added 2008		748	Polish	1900s		Q6037124	Q381238	9383	254528	2	38
420	2006	2008	2010	2012	2018		The Waves	Woolf, Virginia	1) core list		94	English	1900s		Q1217475	Q40909	122429	3230998	21	109
421	2006	2008	2010	2012	2018		To the North	Bowen, Elizabeth	1) core list		1106	Irish	1900s			Q235308		69257	0	28
422	2006	2008	2010	2012	2018		The Thin Man	Hammett, Dashiell	1) core list		291	American	1900s		Q1198493	Q186335	67380	399592	9	63
423	2006	2008	2010	2012	2018		Journey to the End of the Night	Céline, Louis-Ferdinand	1) core list	Voyage au bout de la nuit	64	French	1900s		Q774233	Q151820	420875	792496	36	73
424	2006						Sunset Song	Gibbon, Lewis Grassic	2) Deleted 2008		446	Scottish	1900s		Q3655833	Q650800	18927	18129	3	9
425		2008	2010	2012	2018		The Return of Philip Latinowicz	Krleža, Miroslav	3) Added 2008		1098		1900s		Q1215882	Q325428	13017	109957	5	37
426	2006	2008	2010	2012	2018		The Radetzky March	Roth, Joseph	1) core list		217		1900s		Q610428	Q78509	102569	269333	16	50
427		2008	2010	2012	2018		The Forbidden Realm	Slauerhoff, Jan Jacob	3) Added 2008	Het verboden rijk	1121		1900s		Q2310834	Q561650	2435	19532	3	17
428	2006	2008	2010	2012	2018		Cold Comfort Farm	Gibbons, Stella	1) core list		370	English	1900s		Q5142221	Q1252645	51354	24316	5	23
429	2006	2008	2010	2012	2018		Brave New World	Huxley, Aldous	1) core list		244	English	1900s		Q191949	Q81447	2594757	1574877	53	92
430		2008	2010	2012	2018		Vipers' Tangle	Mauriac, Francois	3) Added 2008	Le Nœud de vipères, Knot of Vipers	272		1900s		Q3225099	Q81685	17794	233280	6	89
431	2006	2008	2010	2012	2018		The Man Without Qualities	Musil, Robert	1) core list		735	Austrian	1900s		Q1195668	Q78487	267855	261103	27	60
432		2008	2010	2012	2018		Cheese	Elsschot, Willem	3) Added 2008	Kaas	975		1900s		Q2181161	Q554105	10616	37600	3	20
433		2008	2010	2012	2018		Man's Fate	Malraux, André	3) Added 2008		803		1900s		Q1618413	Q151164	122190	482261	20	70
434	2006	2008	2010	2012	2018		A Day Off	Jameson, Storm	1) core list		1294	English	1900s			Q541812		6152	0	8
435	2006	2008	2010	2012	2018		Testament of Youth	Brittain, Vera	1) core list		191	English	1900s		Q2406418	Q450802	35529	160612	6	27
436	2006	2008	2010	2012	2018		The Autobiography of Alice B. Toklas	Stein, Gertrude	1) core list		986	American	1900s		Q6618986	Q188385	26561	824130	9	60
437	2006	2008	2010	2012	2018		Murder Must Advertise	Sayers, Dorothy L.	1) core list		62	English	1900s		Q2855327	Q106740	10232	310321	4	42
438	2006	2008	2010	2012	2018		Miss Lonelyhearts	West, Nathanael	1) core list		926	American	1900s		Q6876987	Q370521	24112	62105	4	29
439	2006	2008	2010	2012	2018		Call it Sleep	Roth, Henry	1) core list		692	American	1900s		Q5021517	Q1285419	11851	24505	3	15
440		2008	2010	2012	2018		The Street of Crocodiles	Schulz, Bruno	3) Added 2008		78		1900s		Q3182978	Q148886	40423	167715	6	46
441	2006	2008	2010	2012	2018		Thank You, Jeeves	Wodehouse, P.G.	1) core list		37	English	1900s		Q7710461	Q207515	16228	448590	4	48
442	2006	2008	2010	2012	2018		Tender is the Night	Fitzgerald, F. Scott	1) core list		557	American	1900s		Q247372	Q93354	304604	2258146	24	82
443	2006						A Handful of Dust	Waugh, Evelyn	2) Deleted 2008		395	English	1900s		Q4004281	Q107002	54569	492561	10	56
444	2006	2008	2010	2012	2018		Tropic of Cancer	Miller, Henry	1) core list		833	American/French	1900s		Q1501700	Q187765	396381	739819	27	65
445	2006	2008	2010	2012	2018		The Postman Always Rings Twice	Cain, James M.	1) core list		513	American	1900s		Q934430	Q81071	115882	103294	20	31
446	2006						Novel With Cocaine	Ageyev, M.	2) Deleted 2008		1032	Russian	1900s		Q111903	Q517719	32748	14458	7	16
447	2006						Threepenny Novel	Brecht, Bertolt	2) Deleted 2008		914	German	1900s		Q7798044	Q38757	6289	1606852	2	104
448		2008	2010	2012	2018		On the Heights of Despair	Cioran, Emil	3) Added 2008		44		1900s		Q102079174	Q193405	20576	696878	4	53
449		2008	2010	2012	2018		The Bells of Basel	Aragon, Louis	3) Added 2008		1278		1900s		Q427412	Q4128	6170	381170	5	62
450	2006	2008	2010	2012	2018		The Nine Tailors	Sayers, Dorothy L.	1) core list		224	English	1900s		Q1815880	Q106740	28218	310321	5	42
451	2006						Burmese Days	Orwell, George	2) Deleted 2008		524	English	1900s		Q1762079	Q3335	90203	3995278	23	140
452	2006						England Made Me	Greene, Graham	2) Deleted 2008		1161	English	1900s		Q5377991	Q128560	4955	750910	1	81
453	2006						The House in Paris	Bowen, Elizabeth	2) Deleted 2008		916	Irish	1900s		Q366927	Q235308	6635	69257	3	28
454	2006	2008	2010	2012	2018		Auto-da-Fé	Canetti, Elias	1) core list		297	Italian	1900s		Q1211666	Q80064	46437	280399	14	87
455	2006	2008	2010	2012	2018		They Shoot Horses, Don’t They?	McCoy, Horace	1) core list		456	American	1900s		Q2900609	Q359226	31673	25365	5	22
456	2006	2008	2010	2012	2018		The Last of Mr. Norris	Isherwood, Christopher	1) core list		752	English	1900s		Q6929440	Q310111	15326	251068	3	40
457		2008	2010	2012	2018		Untouchable	Anand, Mulk Raj	3) Added 2008		789		1900s		Q3641802	Q732434	77442	241277	8	33
458	2006	2008	2010	2012	2018		Independent People	Laxness, Halldór	1) core list		134	Icelandic	1900s		Q3449499	Q80321	33362	121892	8	91
459	2006	2008	2010	2012	2018		Nightwood	Barnes, Djuna	1) core list		850	American	1900s		Q11918676	Q234721	39416	116745	6	37
460	2006	2008	2010	2012	2018		At the Mountains of Madness	Lovecraft, H.P.	1) core list		415	American	1900s		Q786586	Q169566	527202	3192131	21	87
461	2006	2008	2010	2012	2018		Absalom, Absalom!	Faulkner, William	1) core list		327	American	1900s		Q2181982	Q38392	204781	1386727	18	106
462	2006						Wild Harbour	MacPherson, Ian	2) Deleted 2008		1291	Scottish	1900s			Q5982174		526	0	2
463		2008	2010	2012	2018		War with the Newts	Capek, Karel	3) Added 2008		75		1900s		Q1194994	Q155855	107583	519651	23	78
464	2006	2008	2010	2012	2018		Keep the Aspidistra Flying	Orwell, George	1) core list		467	English	1900s		Q1217656	Q3335	83397	3995278	18	140
465	2006	2008	2010	2012	2018		Gone With the Wind	Mitchell, Margaret	1) core list		136	American	1900s		Q2870	Q173540	1157981	438721	51	82
466	2006	2008	2010	2012	2018		The Thinking Reed	West, Rebecca	1) core list		1259	English	1900s			Q236669		104332	0	40
467	2006	2008	2010	2012	2018		Eyeless in Gaza	Huxley, Aldous	1) core list		717	German	1900s		Q5422772	Q81447	67410	1574877	5	92
468	2006	2008	2010	2012	2018		Summer Will Show	Warner, Sylvia Townsend	1) core list		1187	English	1900s		Q127773736	Q462270		30505	0	14
469	2006						To Have and Have Not	Hemingway, Ernest	2) Deleted 2008		972	American	1900s		Q538390	Q23434	96729	5732463	25	148
470		2008	2010	2012	2018		Rickshaw Boy	Lao, She	3) Added 2008		812		1900s		Q3140506	Q315167	67483	190173	11	44
471	2006	2008	2010	2012	2018		Out of Africa	Dinesen, Isak	1) core list		371	Danish	1900s		Q1756234	Q182804	154739	765144	16	70
472	2006						The Revenge for Love	Lewis, Wyndham	2) Deleted 2008		1279	Canadian	1900s		Q127774136	Q780102		74035	0	25
473	2006	2008	2010	2012	2018		In Parenthesis	Jones, David	1) core list		574	English	1900s		Q6010393	Q725689	9297	20308	5	12
474		2008	2010	2012	2018		Ferdydurke	Gombrowicz, Witold	3) Added 2008		543		1900s		Q3057258	Q275175	86002	212965	13	50
475		2008	2010	2012	2018		The Blind Owl	Hedayat, Sadegh	3) Added 2008		231		1900s		Q1211660	Q315017	185285	498864	15	43
476	2006	2008	2010	2012	2018		The Hobbit	Tolkien, J.R.R.	1) core list		27	S. African/English	1900s		Q74287	Q892	1764626	5533813	93	154
477	2006						The Years	Woolf, Virginia	2) Deleted 2008		851	English	1900s		Q1616684	Q40909	14028	3230998	6	109
478	2006	2008	2010	2012	2018		Their Eyes Were Watching God	Hurston, Zora Neale	1) core list		363	American	1900s		Q1476619	Q220480	274953	419932	9	49
479	2006	2008	2010	2012	2018		Of Mice and Men	Steinbeck, John	1) core list		365	American	1900s		Q457977	Q39212	1467900	1725273	49	106
480	2006	2008	2010	2012	2018		Murphy	Beckett, Samuel	1) core list		568	Irish	1900s		Q1431476	Q37327	31777	1307056	8	108
481	2006	2008	2010	2012	2018		U.S.A.	Dos Passos, John	1) core list		655	American	1900s		Q971694	Q312407	55122	204459	11	46
482	2006	2008	2010	2012	2018		Brighton Rock	Greene, Graham	1) core list		805	English	1900s		Q2056663	Q128560	67658	750910	9	81
483	2006	2008	2010	2012	2018		Cause for Alarm	Ambler, Eric	1) core list		820	English	1900s		Q5054602	Q508452	3329	78714	1	23
484		2008	2010	2012	2018		Alamut	Bartol, Vladimir	3) Added 2008		45		1900s		Q2339436	Q351683	120727	31408	17	35
485	2006	2008	2010	2012	2018		Rebecca	Du Maurier, Daphne	1) core list		55	English	1900s		Q1334940	Q193357	643653	702170	29	61
486	2006	2008	2010	2012	2018		Nausea	Sartre, Jean-Paul	1) core list	La Nausée	319	French	1900s		Q658288	Q9364	411411	2818384	37	142
487	2006	2008	2010	2012	2018		Miss Pettigrew Lives for a Day	Watson, Winifred	1) core list		292	English	1900s		Q38780970	Q8025429	5770	3806	2	4
488	2006						After the Death of Don Juan	Warner, Sylvia Townsend	2) Deleted 2008		1308	English	1900s		Q127774816	Q462270		30505	0	14
489		2008	2010	2012	2018		On the Edge of Reason	Krleža, Miroslav	3) Added 2008		36		1900s		Q16512299	Q325428	7500	109957	4	37
490	2006	2008	2010	2012	2018		The Big Sleep	Chandler, Raymond	1) core list		195	American	1900s		Q1649862	Q180377	225901	615071	26	62
491	2006	2008	2010	2012	2018		Goodbye to Berlin	Isherwood, Christopher	1) core list		348	English	1900s		Q3605099	Q310111	83640	251068	9	40
492	2006						Coming Up for Air	Orwell, George	2) Deleted 2008		652	English	1900s		Q967866	Q3335	71800	3995278	19	140
493	2006	2008	2010	2012	2018		The Grapes of Wrath	Steinbeck, John	1) core list		384	American	1900s		Q215983	Q39212	1242626	1725273	56	106
494	2006						Party Going	Green, Henry	2) Deleted 2008		1162	American	1900s		Q7140910	Q1285562	3734	27522	1	15
495	2006	2008	2010	2012	2018		Good Morning, Midnight	Rhys, Jean	1) core list		417	Dominican/English	1900s		Q5582761	Q230598	20800	128825	2	40
496	2006						Tropic of Capricorn	Miller, Henry	2) Deleted 2008		676	American	1900s		Q663887	Q187765	94307	739819	16	65
497	2006	2008	2010	2012	2018		At Swim-Two-Birds	O'Brien, Flann	1) core list		400	Irish	1900s		Q759330	Q469093	35885	76187	6	30
498	2006	2008	2010	2012	2018		Finnegans Wake	Joyce, James	1) core list		1002	Irish	1900s		Q6507	Q6882	689911	1680742	39	154
499	2006	2008	2010	2012	2018		Native Son	Wright, Richard	1) core list		373	American	1900s		Q165599	Q319820	148139	224024	5	39
500	2006	2008	2010	2012	2018		The Tartar Steppe	Buzzati, Dino	1) core list	Il deserto dei Tartari	61	Italian	1900s		Q1216707	Q242095	205810	239077	26	49
501	2006	2008	2010	2012	2018		The Power and the Glory	Greene, Graham	1) core list		235	English	1900s		Q431524	Q128560	129222	750910	16	81
502	2006	2008	2010	2012	2018		For Whom the Bell Tolls	Hemingway, Ernest	1) core list		380	American	1900s		Q200920	Q23434	1016453	5732463	56	148
503	2006						Farewell My Lovely	Chandler, Raymond	2) Deleted 2008		82	American	1900s		Q4459778	Q180377	70415	615071	13	62
504	2006						The Hamlet	Faulkner, William	2) Deleted 2008		634	American	1900s		Q3223464	Q38392	27626	1386727	7	106
505	2006						Between the Acts	Woolf, Virginia	2) Deleted 2008		934	English	1900s		Q2342630	Q40909	17735	3230998	8	109
506	2006						Hangover Square	Hamilton, Patrick	2) Deleted 2008		133	English	1900s		Q5648081	Q1278407	12235	40204	1	11
507		2008	2010	2012	2018		The Man Who Loved Children	Stead, Christina	3) Added 2008		1085		1900s		Q7749958	Q441056	10212	12413	5	15
508		2008	2010	2012	2018		Broad and Alien is the World	Alegria, Ciro	3) Added 2008		855		1900s		Q5825857	Q468003	54399	111162	1	28
509	2006	2008	2010	2012	2018		The Living and the Dead	White, Patrick	1) core list		1273	English/Australian	1900s		Q7747909	Q129187	4557	97736	3	82
510	2006						The Poor Mouth	O'Brien, Flann	2) Deleted 2008		181	Irish	1900s		Q3776389	Q469093	12145	76187	6	30
511		2008	2010	2012	2018		The Harvesters	Pavese, Cesare	3) Added 2008		1101	Italian	1900s		Q3888884	Q2022	9209	459197	1	48
512	2006	2008	2010	2012	2018		Conversations in Sicily	Vittorini, Elio	1) core list		895	Italian	1900s		Q584423	Q468658	19984	69281	3	30
513	2006	2008	2010	2012	2018		The Outsider	Camus, Albert	1) core list	L'Etranger	200	Algerian/French	1900s		Q163297	Q34670	1663332	3837542	70	137
514	2006						Go Down, Moses	Faulkner, William	2) Deleted 2008		439	American	1900s		Q2065524	Q38392	26107	1386727	7	106
515	2006	2008	2010	2012	2018		Embers	Marai, Sandor	1) core list		315	Hungarian	1900s		Q366726	Q36951	61536	205972	10	44
516		2008	2010	2012	2018		Chess Story	Zweig, Stefan	3) Added 2008		10		1900s		Q1513820	Q78491	700367	1605134	28	83
517	2006	2008	2010	2012	2018		The Glass Bead Game	Hesse, Hermann	1) core list		204	German	1900s		Q836841	Q25973	372411	1690555	28	113
518	2006						Caught	Green, Henry	2) Deleted 2008		1205	English	1900s			Q1285562		27522	0	15
519		2008	2010	2012	2018		Joseph and His Brothers	Mann, Thomas	3) Added 2008		257	German	1900s		Q282181	Q37030	105508	1598485	18	117
520	2006	2008	2010	2012	2018		The Little Prince	Saint-Exupéry, Antoine de	1) core list	Le petit prince	8	French	1900s		Q25338	Q2908	3734607	2223119	114	112
521	2006	2008	2010	2012	2018		Dangling Man	Bellow, Saul	1) core list		1049	American	1900s		Q5216182	Q83059	9909	315524	6	98
522	2006						Ficciones	Borges, Jorge Luis	2) Deleted 2008		2	Argentian	1900s		Q2483432	Q909	203429	1851970	21	141
523	2006	2008	2010	2012	2018		The Razor’s Edge	Maugham, W. Somerset	1) core list		63	French/English	1900s		Q759329	Q134942	160565	870818	13	76
524	2006	2008	2010	2012	2018		Transit	Seghers, Anna	1) core list		917	Germany	1900s		Q1767504	Q57393	26219	142263	3	52
525		2008	2010	2012	2018		Pippi Longstocking	Lindgren, Astrid	3) Added 2008		72		1900s		Q2446285	Q55767	133093	1642892	17	97
526	2006	2008	2010	2012	2018		Loving	Green, Henry	1) core list		1028	English	1900s		Q6692599	Q1285562	5288	27522	3	15
527	2006						The Pursuit of Love	Mitford, Nancy	2) Deleted 2008		336	English	1900s		Q3576797	Q260026	44010	194373	3	27
528	2006						Cannery Row	Steinbeck, John	2) Deleted 2008		150	American	1900s		Q1216542	Q39212	129648	1725273	13	106
529	2006	2008	2010	2012	2018		Animal Farm	Orwell, George	1) core list		263	English	1900s		Q1396889	Q3335	3115397	3995278	92	140
530	2006	2008	2010	2012	2018		The Bridge on the Drina	Andrić, Ivo	1) core list		16	Bosnian	1900s		Q1247865	Q47561	180518	436628	33	89
531	2006	2008	2010	2012	2018		Christ Stopped at Eboli	Levi, Carlo	1) core list	Cristo si è fermato ad Eboli	192	Italian	1900s		Q1087239	Q312628	132697	145756	12	36
532	2006	2008	2010	2012	2018		Arcanum 17	Breton, André	1) core list		1242	French	1900s		Q2859941	Q161955	3974	561207	2	71
533	2006	2008	2010	2012	2018		Brideshead Revisited	Waugh, Evelyn	1) core list		254	English	1900s		Q6992413	Q107002	501997	492561	23	56
534		2008	2010	2012	2018		Bosnian Chronicle	Andrić, Ivo	3) Added 2008		102	Bosnian	1900s		Q824338	Q47561	13452	436628	9	89
535		2008	2010	2012	2018		The Tin Flute	Roy, Gabrielle	3) Added 2008		906		1900s		Q2910080	Q294999	23201	55772	2	27
536		2008	2010	2012	2018		Nada	Laforet, Carmen	3) Added 2008		539		1900s		Q1623656	Q269123	82510	102085	10	22
537		2008	2010	2012	2018		The Death of Virgil	Broch, Hermann	3) Added 2008		218		1900s		Q668105	Q84150	29230	92260	9	39
538	2006	2008	2010	2012	2018		Titus Groan	Peake, Mervyn	1) core list		475	English	1900s		Q7810310	Q6515	39874	97473	2	23
539		2008	2010	2012	2018		Zorba the Greek	Kazantzákis, Nikos	3) Added 2008		161		1900s		Q1059553	Q214622	280213	501747	30	59
540	2006	2008	2010	2012	2018		Back	Green, Henry	1) core list		1036	English	1900s		Q4839036	Q1285562	1267	27522	1	15
541		2008	2010	2012	2018		House in the Uplands	Caldwell, Erskine	3) Added 2008		1296		1900s			Q310464		70379	0	39
542	2006	2008	2010	2012	2018		The Path to the Nest of Spiders	Calvino, Italo	1) core list	Il sentiero dei nidi di ragno	709	Italian	1900s		Q1135521	Q154756	125498	988659	5	67
543	2006	2008	2010	2012	2018		Under the Volcano	Lowry, Malcolm	1) core list		695	English	1900s		Q1570020	Q357120	131324	75072	18	34
544	2006	2008	2010	2012	2018		If This Is a Man	Levi, Primo	1) core list	Se questo è un uomo	11	Italian	1900s		Q836036	Q153670	301457	805291	21	65
545	2006	2008	2010	2012	2018		Exercises in Style	Queneau, Raymond	1) core list		149	French	1900s		Q2712266	Q218690	62615	158605	10	47
546	2006						The Victim	Bellow, Saul	2) Deleted 2008		1092	American	1900s		Q7772533	Q83059	7447	315524	4	98
547	2006	2008	2010	2012	2018		The Plague	Camus, Albert	1) core list		266	Algerian/French	1900s		Q320372	Q34670	647452	3837542	50	137
548	2006	2008	2010	2012	2018		Doctor Faustus	Mann, Thomas	1) core list		260	German	1900s		Q386431	Q37030	204895	1598485	27	117
549		2008	2010	2012	2018		Midaq Alley	Mahfouz, Naguib	3) Added 2008		546		1900s		Q510850	Q7176	40669	651347	9	138
550		2008	2010	2012	2018		Froth on the Daydream	Vian, Boris	3) Added 2008	L'Écume des jours	281		1900s		Q645906	Q7833	203607	444059	24	57
551		2008	2010	2012	2018		Journey to the Alcarria	Cela, Camilo Jose	3) Added 2008		1093		1900s		Q30006553	Q132589	10154	254424	3	82
552		2008	2010	2012	2018		Ashes and Diamonds	Andrzejewski, Jerzy	3) Added 2008		1031		1900s		Q4804888	Q347767	22054	45430	7	28
553	2006	2008	2010	2012	2018		Disobedience	Moravia, Alberto	1) core list	La disubbidienza	1265	Italian	1900s		Q56300457	Q161933	1095	363714	1	65
554	2006	2008	2010	2012	2018		All About H. Hatterr	Desani, G.V.	1) core list		779	Kenyan	1900s		Q4728502	Q1565590	4958	9046	1	4
555	2006	2008	2010	2012	2018		Cry, the Beloved Country	Paton, Alan	1) core list		437	S. African	1900s		Q2916551	Q361623	78463	47609	9	36
556	2006						The Heart of the Matter	Greene, Graham	2) Deleted 2008		252	English	1900s		Q1168936	Q128560	54145	750910	9	81
557		2008	2010	2012	2018		In The Heart of the Seas	Agnon, Shmuel Yosef	3) Added 2008		1287		1900s		Q6012286	Q133042	37717	172335	2	83
558		2008	2010	2012	2018		This Way for the Gas, Ladies and Gentlemen	Borowski, Tadeusz	3) Added 2008		100		1900s		Q545720	Q100005	18915	94296	2	26
559	2006	2008	2010	2012	2018		Death Sentence	Blanchot, Maurice	1) core list		796	French	1900s		Q3202367	Q315210	3252	119443	2	37
560	2006	2008	2010	2012	2018		Nineteen Eighty-Four	Orwell, George	1) core list		69	English	1900s		Q208460	Q3335	5547853	3995278	94	140
561	2006	2008	2010	2012	2018		The Man With the Golden Arm	Algren, Nelson	1) core list		650	American	1900s		Q3820015	Q547914	18012	95857	3	29
562	2006	2008	2010	2012	2018		Kingdom of This World	Carpentier, Alejo	1) core list		712	Cuban	1900s		Q579507	Q216466	79728	179477	10	65
563	2006	2008	2010	2012	2018		The Heat of the Day	Bowen, Elizabeth	1) core list		1180	Irish	1900s		Q7739239	Q235308	11206	69257	3	28
564	2006	2008	2010	2012	2018		Love in a Cold Climate	Mitford, Nancy	1) core list		611	English	1900s		Q16386787	Q260026	30676	194373	3	27
565	2006	2008	2010	2012	2018		The Case of Comrade Tulayev	Serge, Victor	1) core list		364	Belgium	1900s			Q362009		133460	0	28
566	2006	2008	2010	2012	2018		The Garden Where the Brass Band Played	Vestdijk, Simon	1) core list	De koperen tuin	1166	Dutch	1900s		Q13571552	Q437782	2297	26913	2	27
567	2006	2008	2010	2012	2018		I, Robot	Asimov, Isaac	1) core list		43	American	1900s		Q393018	Q34981	519372	3556343	40	116
568	2006	2008	2010	2012	2018		The Grass is Singing	Lessing, Doris	1) core list		533	Iranian/English	1900s		Q428339	Q40874	42981	686537	9	106
569	2006	2008	2010	2012	2018		A Town Like Alice	Shute, Nevil	1) core list		101	Australian	1900s		Q4660252	Q356639	61099	116366	4	31
570	2006	2008	2010	2012	2018		The Moon and the Bonfires	Pavese, Cesare	1) core list	La luna e i falò	630	Italian	1900s		Q3822884	Q2022	71747	459197	7	48
571	2006	2008	2010	2012	2018		Gormenghast	Peake, Mervyn	1) core list		367	English	1900s		Q728841	Q6515	176606	97473	10	23
572	2006	2008	2010	2012	2018		The 13 Clocks	Thurber, James	1) core list		193	American	1900s		Q7711755	Q124527	8318	129677	2	29
573	2006						The Third Man	Greene, Graham	2) Deleted 2008		508	English	1900s		Q3227851	Q128560	21224	750910	4	81
574	2006	2008	2010	2012	2018		The Labyrinth of Solitude	Paz, Octavio	1) core list	El Laberinto De La Soledad	77	Mexican	1900s		Q645470	Q46739	72678	493461	5	94
575	2006	2008	2010	2012	2018		The Abbot C	Bataille, Georges	1) core list	L'Abbé C	1201	French	1900s		Q6455485	Q207359	6099	488275	3	49
576		2008	2010	2012	2018		The Guiltless	Broch, Hermann	3) Added 2008		1142		1900s		Q1216079	Q84150	1877	92260	1	39
577		2008	2010	2012	2018		Barabbas	Lagerkvist, Par	3) Added 2008		558		1900s		Q547731	Q93137	20197	86581	10	81
578	2006	2008	2010	2012	2018		The End of the Affair	Greene, Graham	1) core list		277	English	1900s		Q905112	Q128560	78697	750910	9	81
579	2006	2008	2010	2012	2018		Molloy	Beckett, Samuel	1) core list		185	Irish	1900s		Q1971806	Q37327	68036	1307056	12	108
580	2006	2008	2010	2012	2018		The Rebel	Camus, Albert	1) core list		97	Algerian/French	1900s		Q1195789	Q34670	170526	3837542	18	137
