ID	2006 list	2008 list	2010 list	2012 list	2018 list	r/tbr/w	Book Title	Author	List	Original/Alt Title	Wilson score	nationality	Period	List Notes	Work Wikidata ID	Author Wikidata ID	Work QRank	Author QRank	Work Sitelinks	Author Sitelinks
230		2008	2010	2012	2018		Thais	France, Anatole	3) Added 2008		970		1800s		Q2756710	Q42443	18813	386115	12	95
231	2006	2008	2010	2012	2018		The Kreutzer Sonata	Tolstoy, Leo	1) core list		356	Russian	1800s		Q1214091	Q7243	180742	5046400	26	182
232	2006	2008	2010	2012	2018		The Picture of Dorian Gray	Wilde, Oscar	1) core list		137	Irish	1800s		Q82464	Q30875	2825125	4522706	60	127
233		2008	2010	2012	2018		Down There	Huysmans, Joris-Karl	3) Added 2008	Là-Bas	401		1800s		Q1763200	Q210798	49080	211895	11	47
234	2006	2008	2010	2012	2018		Tess of the D’Urbervilles	Hardy, Thomas	1) core list		719	English	1800s		Q649409	Q132805	458098	801092	29	87
235	2006	2008	2010	2012	2018		Gösta Berling’s Saga	Lagerlöf, Selma	1) core list		925	Swedish	1800s		Q1559656	Q44519	55325	582775	16	114
236	2006	2008	2010	2012	2018		New Grub Street	Gissing, George	1) core list		918	English	1800s		Q29053296	Q369790		45103	2	31
237	2006	2008	2010	2012	2018		News from Nowhere	Morris, William	1) core list		1217	English	1800s		Q7019506	Q182589	44923	785185	9	59
238	2006	2008	2010	2012	2018		The Adventures of Sherlock Holmes	Doyle, Arthur Conan	1) core list		17	English	1800s		Q392147	Q35610	445253	2279991	46	120
239	2006	2008	2010	2012	2018		Diary of a Nobody	Grossmith, George	1) core list		745	English	1800s		Q864150	Q1564825	32707	15944	7	9
240	2006						Born in Exile	Gissing, George	2) Deleted 2008		1168	English	1800s		Q4945890	Q369790	1142	45103	1	31
241	2006						The Yellow Wallpaper	Gilman, Charlotte Perkins	2) Deleted 2008		65	American	1800s		Q462373	Q287752	428030	167287	16	41
242	2006						The Real Charlotte	Somerville and Ross	2) Deleted 2008		1250	Greek/Irish	1800s		Q51524366	Q7559989	2562	3768	1	1
243		2008	2010	2012	2018		The Viceroys	De Roberto, Federico	3) Added 2008		385		1800s		Q3236059	Q2641199	35903	27868	4	15
244	2006	2008	2010	2012	2018		Jude the Obscure	Hardy, Thomas	1) core list		566	English	1800s		Q1248773	Q132805	151742	801092	16	87
245	2006	2008	2010	2012	2018		Effi Briest	Fontane, Theodor	1) core list		1219	German	1800s		Q1296168	Q76632	141105	257305	17	56
246	2006	2008	2010	2012	2018		The Time Machine	Wells, H.G.	1) core list		323	English	1800s		Q627333	Q42511	904306	1660352	48	109
247	2006	2008	2010	2012	2018		The Island of Dr. Moreau	Wells, H.G.	1) core list		664	English	1800s		Q718268	Q42511	436938	1660352	30	109
248	2006	2008	2010	2012	2018		Quo Vadis	Sienkiewicz, Henryk	1) core list		169	Polish	1800s		Q335315	Q41502	404200	664869	39	98
249	2006	2008	2010	2012	2018		Dracula	Stoker, Bram	1) core list		331	Irish	1800s		Q41542	Q36184	2649081	1206403	70	82
250	2006	2008	2010	2012	2018		What Maisie Knew	James, Henry	1) core list		1150	American	1800s		Q2943614	Q170509	29851	708927	7	73
251	2006						The Invisible Man	Wells, H.G.	2) Deleted 2008		830	English	1800s		Q1539509	Q42511	461326	1660352	38	109
252		2008	2010	2012	2018		Compassion	Pérez Galdós, Benito	3) Added 2008		866		1800s		Q5836705	Q189869	13620	307627	2	61
253		2008	2010	2012	2018		Pharoah	Prus, Boleslaw	3) Added 2008		1165		1800s		Q2379553	Q144439	42549	201711	12	45
254	2006	2008	2010	2012	2018		Fruits of the Earth	Gide, André	1) core list		950	French	1800s		Q2345410	Q47484	43605	583242	6	95
255	2006	2008	2010	2012	2018		The War of the Worlds	Wells, H.G.	1) core list		485	English	1800s		Q213019	Q42511	1375741	1660352	53	109
256	2006						The Turn of the Screw	James, Henry	2) Deleted 2008		1048	American	1800s		Q625923	Q170509	520453	708927	22	73
257		2008	2010	2012	2018		As a Man Grows Older	Svevo, Italo	3) Added 2008	Senilità	1083	Italian	1800s		Q3955313	Q216478	47010	266473	4	51
258		2008	2010	2012	2018		Dom Casmurro	Machado de Assis, Joaquim Maria	3) Added 2008		19		1800s		Q1236531	Q311145	94025	416009	11	51
259	2006	2008	2010	2012	2018		The Awakening	Chopin, Kate	1) core list		826	American	1800s		Q1567505	Q230476	221215	182536	11	39
260	2006	2008	2010	2012	2018		The Stechlin	Fontane, Theodor	1) core list		1007	German	1800s		Q1197130	Q76632	23487	257305	3	56
261		2008	2010	2012	2018		Eclipse of the Crescent Moon	Gardonyi, Geza	3) Added 2008		822		1800s		Q987956	Q221903	76933	78940	7	30
262	2006	2008	2010	2012	2018		Some Experiences of an Irish R.M.	Somerville and Ross	1) core list		1017	Irish	1800s		Q124091969	Q7559989		3768	0	1
263		2008	2010	2012	2018		Sandokan: The Tigers of Mompracem	Salgari, Emilio	3) Added 2008	Le tigri di Mompracem	732	Italian	1900s		Q1248151	Q309786	46566	229881	7	43
264	2006	2008	2010	2012	2018		Sister Carrie	Dreiser, Theodore	1) core list		848	American	1900s		Q1286961	Q486096	86931	307662	18	54
265	2006						Lord Jim	Conrad, Joseph	2) Deleted 2008		991	English	1900s		Q727408	Q82925	163314	1488757	30	88
266		2008	2010	2012	2018		None but the Brave	Schnitzler, Arthur	3) Added 2008	Lieutenant Gustl	992		1900s		Q1821658	Q44331	28258	296396	5	55
267	2006	2008	2010	2012	2018		Kim	Kipling, Rudyard	1) core list		791	English	1900s		Q589868	Q34743	176409	1960701	29	119
268	2006	2008	2010	2012	2018		Buddenbrooks	Mann, Thomas	1) core list		225	German	1900s		Q326909	Q37030	340804	1598485	40	117
269	2006	2008	2010	2012	2018		The Hound of the Baskervilles	Doyle, Arthur Conan	1) core list		95	English	1900s		Q45192	Q35610	946832	2279991	53	120
270	2006	2008	2010	2012	2018		Heart of Darkness	Conrad, Joseph	1) core list		1063	English	1900s		Q129778	Q82925	1261960	1488757	49	88
271	2006	2008	2010	2012	2018		The Wings of the Dove	James, Henry	1) core list		844	American	1900s		Q1557588	Q170509	43149	708927	8	73
272	2006	2008	2010	2012	2018		The Immoralist	Gide, André	1) core list		961	French	1900s		Q174626	Q47484	42812	583242	10	95
273	2006	2008	2010	2012	2018		The Ambassadors	James, Henry	1) core list		997	American	1900s		Q650571	Q170509	38588	708927	12	73
274	2006						The Golden Bowl	James, Henry	2) Deleted 2008		814	American	1900s		Q1248585	Q170509	47670	708927	11	73
275	2006	2008	2010	2012	2018		The Riddle of the Sands	Childers, Erskine	1) core list		980	Irish	1900s		Q1170204	Q1270441	43132	103764	3	21
276		2008	2010	2012	2018		The Call of the Wild	London, Jack	3) Added 2008		412	American	1900s		Q476871	Q45765	750847	1756525	44	95
277		2008	2010	2012	2018		Memoirs of my Nervous Illness	Schreber, Daniel Paul	3) Added 2008	Denkwürdigkeiten eines Nervenkranken	393		1900s		Q127698915	Q62468		67743	0	13
278		2008	2010	2012	2018		The Way of All Flesh	Butler, Samuel	3) Added 2008		981	English	1900s		Q255074	Q258766	38418	19281	9	27
279	2006	2008	2010	2012	2018		Hadrian the Seventh	Rolfe, Frederick	1) core list		1206	English	1900s		Q5638060	Q1289140	6452	23516	5	15
280	2006	2008	2010	2012	2018		Nostromo	Conrad, Joseph	1) core list		613	English	1900s		Q430248	Q82925	175936	1488757	18	88
281	2006						Where Angels Fear to Tread	Forster, E.M.	2) Deleted 2008		874	English	1900s		Q7993159	Q189119	47660	511769	5	62
282	2006	2008	2010	2012	2018		The House of Mirth	Wharton, Edith	1) core list		350	American	1900s		Q6474536	Q276032	141794	521511	9	62
283	2006	2008	2010	2012	2018		Professor Unrat	Mann, Heinrich	1) core list		891	German	1900s		Q457481	Q76480	43360	239036	11	56
284		2008	2010	2012	2018		Solitude	Catala, Victor	3) Added 2008		774		1900s		Q3312480	Q2914475	16207	44033	4	41
285	2006	2008	2010	2012	2018		Young Törless	Musil, Robert	1) core list		648	Austrian	1900s		Q1112285	Q78487	58912	261103	15	60
286	2006	2008	2010	2012	2018		The Forsyte Saga	Galsworthy, John	1) core list		271	English	1900s		Q735319	Q82248	268062	208493	23	88
287	2006	2008	2010	2012	2018		The Jungle	Sinclair, Upton	1) core list		720	American	1900s		Q260205	Q216134	369953	439518	20	54
288	2006	2008	2010	2012	2018		The Secret Agent	Conrad, Joseph	1) core list		983	English	1900s		Q1247666	Q82925	89449	1488757	18	88
289	2006	2008	2010	2012	2018		Mother	Gorky, Maxim	1) core list		391	Russian	1900s		Q169632	Q12706	149741	1629813	33	112
290	2006	2008	2010	2012	2018		The House on the Borderland	Hodgson, William Hope	1) core list		864	English	1900s		Q740473	Q919277	41322	65927	8	19
291	2006	2008	2010	2012	2018		The Old Wives’ Tale	Bennett, Arnold	1) core list		799	English	1900s		Q7754941	Q314158	13193	88311	3	37
292	2006						The Iron Heel	London, Jack	2) Deleted 2008		782	American	1900s		Q2465752	Q45765	109360	1756525	21	95
293	2006	2008	2010	2012	2018		The Inferno	Barbusse, Henri	1) core list		942	French	1900s		Q5706510	Q18404	8803	119598	5	54
294	2006						Tono-Bungay	Wells, H.G.	2) Deleted 2008		1208	English	1900s		Q1535422	Q42511	16058	1660352	8	109
295	2006	2008	2010	2012	2018		A Room With a View	Forster, E.M.	1) core list		295	English	1900s		Q120288	Q189119	216657	511769	23	62
296	2006	2008	2010	2012	2018		Strait is the Gate	Gide, André	1) core list		957	French	1900s		Q27463	Q47484	60993	583242	10	95
297	2006						Martin Eden	London, Jack	2) Deleted 2008		9	American	1900s		Q1317839	Q45765	478376	1756525	35	95
298	2006						Three Lives	Stein, Gertrude	2) Deleted 2008		1260	American	1900s		Q7797597	Q188385	12306	824130	4	60
299		2008	2010	2012	2018		The Notebooks of Malte Laurids Brigge	Rilke, Rainer Maria	3) Added 2008		209		1900s		Q968544	Q76483	63172	1138483	14	85
300	2006	2008	2010	2012	2018		Howards End	Forster, E.M.	1) core list		278	English	1900s		Q1146642	Q189119	183648	511769	16	62
301	2006	2008	2010	2012	2018		Impressions of Africa	Roussel, Raymond	1) core list		678	French	1900s		Q3149476	Q462662	2528	48062	2	23
302	2006	2008	2010	2012	2018		Fantômas	Allain, Marcel	1) core list		959	French	1900s		Q16635857	Q971735	5668	16105	3	12
303	2006	2008	2010	2012	2018		Ethan Frome	Wharton, Edith	1) core list		1096	American	1900s		Q5402934	Q276032	122254	521511	14	62
304	2006	2008	2010	2012	2018		The Charwoman’s Daughter	Stephens, James	1) core list		1194	Irish	1900s		Q127698993	Q508101		16289	0	10
305	2006	2008	2010	2012	2018		Death in Venice	Mann, Thomas	1) core list		668	German	1900s		Q828296	Q37030	470592	1598485	37	117
306	2006	2008	2010	2012	2018		Sons and Lovers	Lawrence, D.H.	1) core list		1022	English	1900s		Q80771	Q34970	150476	813303	24	76
307	2006	2008	2010	2012	2018		The Ragged Trousered Philanthropists	Tressell, Robert	1) core list		488	Irish	1900s		Q7759270	Q7350472	45768	17621	2	3
308		2008	2010	2012	2018		Platero and I	Jiménez, Juan Ramón	3) Added 2008	Platero y yo	570	Spanish	1900s		Q2916224	Q131318	111386	277193	13	87
309	2006	2008	2010	2012	2018		Tarzan of the Apes	Burroughs, Edgar Rice	1) core list		448	American	1900s		Q655296	Q148234	202224	510745	21	74
310	2006						Rosshalde	Hesse, Hermann	2) Deleted 2008		784	German	1900s		Q2171354	Q25973	11239	1690555	8	113
311	2006	2008	2010	2012	2018		Locus Solus	Roussel, Raymond	1) core list		238	French	1900s		Q2913641	Q462662	17518	48062	7	23
312	2006	2008	2010	2012	2018		Kokoro	Natsume, Soseki	1) core list		232	Japanese	1900s		Q2623003	Q180903	290931	986934	15	53
313	2006	2008	2010	2012	2018		The Thirty-Nine Steps	Buchan, John	1) core list		863	Scottish	1900s		Q2609365	Q333004	130353	123734	16	38
314	2006	2008	2010	2012	2018		The Rainbow	Lawrence, D.H.	1) core list		941	English	1900s		Q3288936	Q34970	82508	813303	11	76
315	2006	2008	2010	2012	2018		Of Human Bondage	Maugham, W. Somerset	1) core list		220	English	1900s		Q1195793	Q134942	263021	870818	20	76
316	2006						The Voyage Out	Woolf, Virginia	2) Deleted 2008		770	English	1900s		Q599198	Q40909	33655	3230998	9	109
317	2006	2008	2010	2012	2018		The Good Soldier	Ford, Ford Madox	1) core list		802	English	1900s		Q767802	Q537112	48713	106913	9	33
318	2006	2008	2010	2012	2018		Rashomon	Akutagawa, Ryunosuke	1) core list		125	Japanese	1900s		Q1076912	Q186326	310437	1424964	22	68
319	2006	2008	2010	2012	2018		Under Fire	Barbusse, Henri	1) core list		767	French	1900s		Q1167837	Q18404	32462	119598	12	54
320	2006	2008	2010	2012	2018		A Portrait of the Artist as a Young Man	Joyce, James	1) core list		935	Irish	1900s		Q465360	Q6882	280393	1680742	42	154
321	2006						Bunner Sisters	Wharton, Edith	2) Deleted 2008		877	American	1900s		Q56064179	Q276032	1833	521511	2	62
322		2008	2010	2012	2018		The Underdogs	Azuela, Mariano	3) Added 2008	Los de abajo	885		1900s		Q3890709	Q355676	43589	43526	6	27
323		2008	2010	2012	2018		Pallieter	Timmermans, Felix	3) Added 2008		1261		1900s		Q21465365	Q713284	7947	18459	3	21
324		2008	2010	2012	2018		The Home and the World	Tagore, Rabindranath	3) Added 2008		614		1900s		Q7740074	Q7241	91641	4068155	8	161
325	2006	2008	2010	2012	2018		Growth of the Soil	Hamsun, Knut	1) core list		199	Norwegian	1900s		Q2266122	Q40826	61326	437929	18	102
326	2006						Summer	Wharton, Edith	2) Deleted 2008		804	American	1900s		Q7637251	Q276032	14107	521511	3	62
327	2006						The Shadow Line	Conrad, Joseph	2) Deleted 2008		768	English	1900s		Q1120858	Q82925	44971	1488757	10	88
328	2006	2008	2010	2012	2018		The Return of the Soldier	West, Rebecca	1) core list		769	English	1900s		Q7760466	Q236669	13095	104332	3	40
329	2006	2008	2010	2012	2018		Tarr	Lewis, Wyndham	1) core list		1245	Canadian	1900s		Q3515799	Q780102	11833	74035	2	25
330	2006						Night and Day	Woolf, Virginia	2) Deleted 2008		857	English	1900s		Q1610831	Q40909	17439	3230998	9	109
331		2008	2010	2012	2018		Storm of Steel	Junger, Ernst	3) Added 2008		142		1900s		Q1660671	Q76727	168274	746012	14	51
332	2006	2008	2010	2012	2018		Women in Love	Lawrence, D.H.	1) core list		922	English	1900s		Q2443714	Q34970	84770	813303	12	76
333	2006	2008	2010	2012	2018		Main Street	Lewis, Sinclair	1) core list		762	American	1900s		Q6736091	Q123469	42925	289640	8	94
334	2006	2008	2010	2012	2018		The Age of Innocence	Wharton, Edith	1) core list		354	American	1900s		Q1045464	Q276032	297826	521511	18	62
335	2006	2008	2010	2012	2018		Crome Yellow	Huxley, Aldous	1) core list		1099	English	1900s		Q5187582	Q81447	23740	1574877	5	92
336	2006						The Fox	Lawrence, D.H.	2) Deleted 2008		1155	English	1900s		Q7735094	Q34970	11477	813303	2	76
337		2008	2010	2012	2018		Life of Christ	Papini, Giovanni	3) Added 2008		1112		1900s		Q3891578	Q529858	5177	103130	4	30
338	2006	2008	2010	2012	2018		Ulysses	Joyce, James	1) core list		958	Irish	1900s		Q6511	Q6882	1917064	1680742	75	154
339	2006	2008	2010	2012	2018		Babbitt	Lewis, Sinclair	1) core list		902	American	1900s		Q1107000	Q123469	71005	289640	11	94
340	2006						Aaron’s Rod	Lawrence, D.H.	2) Deleted 2008		1286	English	1900s		Q4661765	Q34970	7093	813303	4	76
341	2006						The Last Days of Humanity	Kraus, Karl	2) Deleted 2008		427	Czech/Austrian	1900s		Q1218953	Q44328	27925	187397	5	43
342		2008	2010	2012	2018		Claudine's House	Colette	3) Added 2008		1014	French	1900s		Q3210354	Q218679	15671	1007565	1	60
343	2006	2008	2010	2012	2018		Life and Death of Harriett Frean	Sinclair, May	1) core list		1103	English	1900s		Q19572638	Q1131497	1394	13556	2	14
344	2006						The Glimpses of the Moon	Wharton, Edith	2) Deleted 2008		627	American	1900s		Q30717034	Q276032	3220	521511	2	62
345		2008	2010	2012	2018		The Forest of the Hanged	Rebreanu, Liviu	3) Added 2008		342		1900s		Q15731603	Q462220	66141	123070	9	26
346	2006	2008	2010	2012	2018		Siddhartha	Hesse, Hermann	1) core list		162	German	1900s		Q457289	Q25973	861828	1690555	45	113
347	2006						Jacob’s Room	Woolf, Virginia	2) Deleted 2008		1043	English	1900s		Q1677745	Q40909	27520	3230998	12	109
348	2006	2008	2010	2012	2018		The Enormous Room	Cummings, E.E.	1) core list		790	American	1900s		Q2389737	Q298703	10702	296104	3	46
349	2006						The Garden Party	Mansfield, Katherine	2) Deleted 2008		457	New Zealand	1900s		Q7735827	Q270632	46011	319518	4	51
350		2008	2010	2012	2018		Kristin Lavransdatter	Undset, Sigrid	3) Added 2008		230		1900s		Q1755757	Q80889	86833	167457	14	98
351	2006	2008	2010	2012	2018		Amok	Zweig, Stefan	1) core list		70	Austrian	1900s		Q675609	Q78491	69869	1605134	14	83
352	2006						Antic Hay	Huxley, Aldous	2) Deleted 2008		1184	English	1900s		Q4774579	Q81447	13999	1574877	6	92
353	2006						Cane	Toomer, Jean	2) Deleted 2008		416	American	1900s		Q3655399	Q1277467	19163	34060	2	13
354	2006	2008	2010	2012	2018		The Devil in the Flesh	Radiguet, Raymond	1) core list		794	French	1900s		Q371371	Q333615	68686	146747	10	33
